model,config,pca_mode,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability
dinov2_vitb14,multi_axes_average,none,logistic,"{'C': 0.1, 'l1_ratio': 0.30000000000000004}",0.48496221520056815,0.6069103340437136,0.1186556217976763,32,True,0.042571891434486434
dinov2_vitb14,multi_axes_max,none,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5263574008943079,0.5302846422122666,0.17131750783871924,32,True,0.018178724695335904
dinov2_vitb14,multi_axes_add,none,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5218840801357915,0.5834958974642819,0.16019903220037257,32,True,0.028172130407645282
dinov2_vitb14,single_axis_axial,none,logistic,"{'C': 1, 'l1_ratio': 1.0}",0.5635102832240064,0.6215448647613907,0.12124986461290066,32,True,0.039754911445925536
dinov2_vitb14,single_axis_coronal,none,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5562920040649787,0.5851528387296696,0.10196541958083749,32,True,0.027670805701375506
dinov2_vitb14,single_axis_sagittal,none,logistic,"{'C': 1, 'l1_ratio': 1.0}",0.4354525524591247,0.5680737853850998,0.15504823111827692,32,True,0.04338784753077692
dinov2_vits14,multi_axes_average,none,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.551746709234915,0.594498267801151,0.2232668519792559,104,True,0.020979290346808302
dinov2_vits14,multi_axes_max,none,logistic,"{'C': 0.01, 'l1_ratio': 0.2}",0.5523514355587489,0.5121193288582819,0.07098911136435437,313,True,0.03783034831043023
dinov2_vits14,multi_axes_add,none,logistic,"{'C': 0.01, 'l1_ratio': 0.6000000000000001}",0.5897868721008679,0.6011640562182684,0.1902500891487504,101,True,0.015046259876018292
dinov2_vits14,single_axis_axial,none,logistic,"{'C': 1, 'l1_ratio': 0.0}",0.5363554721098884,0.5620949640747359,0.20886619691437758,50,True,0.0368282803856854
dinov2_vits14,single_axis_coronal,none,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6002362125661775,0.5755050210281268,0.12625286042117434,43,True,0.0508879624386157
dinov2_vits14,single_axis_sagittal,none,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.48413675661202227,0.571571005578904,0.019815854316752146,45,True,0.015225070402125009
dinov2_vitg14,multi_axes_average,none,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5921003533272603,0.5988041148173491,0.3208417754867303,4608,True,0.048938695484120304
dinov2_vitg14,multi_axes_max,none,logistic,"{'C': 0.1, 'l1_ratio': 0.4}",0.5913517145932671,0.5745928756217002,0.3006920059858097,4608,True,0.04390495769151851
dinov2_vitg14,multi_axes_add,none,logistic,"{'C': 0.01, 'l1_ratio': 0.30000000000000004}",0.5638543179360911,0.5857797118388568,0.22347622882807738,4608,False,0.03523505390654102
dinov2_vitg14,single_axis_axial,none,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.607293896004772,0.5910986713454378,0.21452093493755997,1536,True,0.04025082846720803
dinov2_vitg14,single_axis_coronal,none,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5727068845613393,0.5571718968373579,0.20849368530968693,1536,True,0.03261094520889221
dinov2_vitg14,single_axis_sagittal,none,logistic,"{'C': 10, 'l1_ratio': 1.0}",0.4905829105730101,0.577387055089939,0.3930187541548671,1536,False,0.029629628719579183
dinov2_vitl14,multi_axes_average,none,logistic,"{'C': 0.1, 'l1_ratio': 0.2}",0.5341125793112342,0.5908539289798012,0.203007530213564,256,True,0.02395416510426915
dinov2_vitl14,multi_axes_max,none,logistic,"{'C': 0.1, 'l1_ratio': 0.30000000000000004}",0.6164299002399984,0.5882205520316093,0.39205279802390525,256,True,0.037141515805850824
dinov2_vitl14,multi_axes_add,none,logistic,"{'C': 0.001, 'l1_ratio': 0.2}",0.5344521712284126,0.5665922983976819,0.1170488352448853,256,True,0.03186360603320693
dinov2_vitl14,single_axis_axial,none,logistic,"{'C': 1, 'l1_ratio': 0.9}",0.5897471092849729,0.5840634454306756,0.27441516641051567,256,True,0.01937893508109507
dinov2_vitl14,single_axis_coronal,none,logistic,"{'C': 0.1, 'l1_ratio': 0.30000000000000004}",0.5507837165650898,0.575573774381289,0.07273157426025234,256,True,0.042188652546497
dinov2_vitl14,single_axis_sagittal,none,logistic,"{'C': 10, 'l1_ratio': 1.0}",0.5085688252853235,0.5628195268192245,0.43718047318077546,256,True,0.04230356451554316
dinov2_vitg14,multi_axes_average,none,logistic,"{'C': 1, 'l1_ratio': 1.0}",0.5778411772683902,0.6113743792160975,0.34042975631135053,256,True,0.047150904740479116
dinov2_vitg14,multi_axes_max,none,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.5857757945734218,0.5899592331444494,0.014025314220480256,256,True,0.05220526396327932
dinov2_vitg14,multi_axes_add,none,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.6292969290956932,0.5973939556280919,0.28839357603457605,256,True,0.06447987666668305
dinov2_vitg14,single_axis_axial,none,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6074227588938481,0.5918877053339631,0.21054598097216837,256,True,0.03950432233321187
dinov2_vitg14,single_axis_coronal,none,logistic,"{'C': 0.1, 'l1_ratio': 0.2}",0.5420053593049834,0.5613620377483952,0.10796578721449013,256,True,0.02547679256649789
dinov2_vitg14,single_axis_sagittal,none,logistic,"{'C': 1, 'l1_ratio': 1.0}",0.4931070354654937,0.5914494229311178,0.23070180923801953,256,True,0.033030095062523815
dinov2_vitb14,multi_axes_average,none,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5222365597314916,0.6186661446737839,0.22302858632289002,150,True,0.04503312453956821
dinov2_vitb14,multi_axes_max,none,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5963331418048022,0.5492735044521627,0.4365099217493148,359,True,0.0136584263961656
dinov2_vitb14,multi_axes_add,none,logistic,"{'C': 0.01, 'l1_ratio': 0.7000000000000001}",0.5315192099463975,0.5906813456204101,0.23686750251091615,145,True,0.02808776910114082
dinov2_vitb14,single_axis_axial,none,logistic,"{'C': 1, 'l1_ratio': 1.0}",0.5704974755078523,0.610102379314348,0.19580545029680485,81,True,0.03793240100966916
dinov2_vitb14,single_axis_coronal,none,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5598780085543058,0.5823232436096383,0.12098304712517594,69,True,0.03109269456614963
dinov2_vitb14,single_axis_sagittal,none,logistic,"{'C': 1, 'l1_ratio': 0.0}",0.4983438777253906,0.5631608010525518,0.2538609608197706,73,True,0.02558131433181682
dinov2_vits14,multi_axes_average,none,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.550432394319448,0.5950656999364465,0.1289465287740843,32,True,0.028097416298112618
dinov2_vits14,multi_axes_max,none,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.5678026404891949,0.5232190367143577,0.13222554717698176,32,True,0.029097967862803012
